Title,Time,Theme,Header,Resume,Font,Highlighted
Compras internacionais: 9 sites vão pagar imposto menor,2024-07-13 14:40:12.333107, Economia ,Itens de até US$ 50,Empresas receberam certificado da Receita; outros 11 pedidos estão em análise.,G1,0
Paciente espera há 3 anos pelo transplante de 5 órgãos,2024-07-13 04:23:12.333115, Saúde ,Fila na Saúde,,G1,0
Ônibus escolar com crianças cai em rio; motorista tinha bebido,2024-07-13 12:23:12.333117, Santa Catarina ,Santa Catarina,,G1,0
Motorista embriagado atropela policiais de moto; veja vídeo,2024-07-13 13:23:12.333118, Norte e Noroeste ,Paraná,,G1,0
Câmera corporal mostra tiro de PM que deixou mulher cega,2024-07-13 15:00:12.333119, São Paulo ,São Paulo,"Segundo SSP, tiro foi acidental; caso de 2023 segue em investigação.",G1,0
Dia Mundial do Rock: saiba qual é o hit do ano em que você nasceu,2024-07-13 01:23:12.333120, Música ,🤘🎸🎵,,G1,0
"Em sábado de folga, Lula pesca peixe de 4,5 kg",2024-07-13 13:23:12.333121, Política ,Granja do Torto,,G1,0
Polícia procura suspeito de atirar e matar produtor de MC Livinho,2024-07-13 13:23:12.333124, São Paulo ,Crime em São Paulo,,G1,0
Rifas virtuais e lavagem de dinheiro: entenda as suspeitas contra Nego Di,2024-07-13 04:23:12.333125, Rio Grande do Sul ,Operação no RS,Influenciador e a esposa foram alvo de operação ontem.,G1,0
"'Me dei conta do abuso ao tentar sair com outra pessoa', diz Ingrid",2024-07-13 04:23:12.333126, Pop & Arte ,'Casamento às Cegas',,G1,0
Meteoro cruza o céu e impressiona o público durante show da Simone Mendes no Ceará,2024-07-13 10:23:12.333127,G1 CE,,,G1,0
"Maquiagem, costura: o que faz o profissional que prepara cadáveres",2024-07-13 09:23:12.333128, São Paulo ,Tanatopraxia,Influenciadora mostra no TikTok como é trabalhar com a morte.,G1,0
"RS tem 1,2 mil pedidos de auxílio em nome de pessoas mortas",2024-07-13 02:23:12.333128, Rio Grande do Sul ,Fraude no Sul,,G1,0
Paris 2024: ministra toma banho no Sena para provar qualidade da água ,2024-07-13 09:23:12.333129, Mundo ,Faltam duas semanas,,G1,0
Pó de café não tem só... café: veja as impurezas permitidas por lei,2024-07-13 08:23:12.333130, Agronegócios ,Regra brasileira,,G1,0
Casamento 'do século' na Índia atrai famosos e políticos; veja FOTOS,2024-07-13 01:23:12.333131, Mundo ,4 dias de festa,,G1,0
VÍDEO: Alec Baldwin chora após juíza anular acusação de homicídio,2024-07-13 00:23:12.333131, Pop & Arte ,Morte em set de filme,,G1,0
